"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0,-37.790984320701
0.00666666666666667,-38.1483041443365
0.0133333333333333,-38.5029002615839
0.02,-38.8608197993965
0.0266666666666667,-39.2181613227253
0.0333333333333333,-39.5708089074833
0.04,-39.9175937479708
0.0466666666666667,-40.2593198197705
0.0533333333333333,-40.5931191937994
0.06,-40.9104398282821
0.0666666666666667,-41.2224905578632
0.0733333333333333,-41.5213938906106
0.08,-41.8055743652847
0.0866666666666667,-42.0735009675553
0.0933333333333333,-42.3236976916335
0.1,-42.5547536537031
0.106666666666667,-42.7653334747863
0.113333333333333,-42.9541874432772
0.12,-43.1201612858253
0.126666666666667,-43.2622059451425
0.133333333333333,-43.3793863777084
0.14,-43.4708900936701
0.146666666666667,-43.5360349160733
0.153333333333333,-43.5742759655361
0.16,-43.5852116541235
0.166666666666667,-43.5685859149495
0.173333333333333,-43.5242965655969
0.18,-43.4523002969819
0.186666666666667,-43.3534028829574
0.193333333333333,-43.2269245538695
0.2,-43.0740437992975
0.206666666666667,-42.895340045924
0.213333333333333,-42.6916357080288
0.22,-42.4642992902953
0.226666666666666,-42.2132355432354
0.233333333333333,-41.9407999793018
0.24,-41.649796773919
0.246666666666666,-41.3409272864518
0.253333333333333,-41.0130557162555
0.26,-40.6714700809532
0.266666666666666,-40.3167115050821
0.273333333333333,-39.9511346092028
0.28,-39.5766965809776
0.286666666666666,-39.1909946394791
0.293333333333333,-38.8007997556605
0.3,-38.4073260665837
0.306666666666666,-38.0130125457293
0.313333333333333,-37.619897592156
0.32,-37.226416766829
0.326666666666666,-36.8350601848826
0.333333333333333,-36.451387536859
0.34,-36.0750873685294
0.346666666666666,-35.7097547407488
0.353333333333333,-35.3575906613865
0.36,-35.0202569965256
0.366666666666666,-34.6995044380604
0.373333333333333,-34.3946614992868
0.38,-34.1083265480752
0.386666666666666,-33.842838485878
0.393333333333333,-33.5998550171221
0.4,-33.3806854284672
0.406666666666666,-33.1858618237603
0.413333333333333,-33.016846954488
0.419999999999999,-32.8748826893603
0.426666666666666,-32.7604236739355
0.433333333333333,-32.6741675177685
0.439999999999999,-32.6167018872035
0.446666666666666,-32.5884373496868
0.453333333333333,-32.5897503299179
0.459999999999999,-32.6208028276714
0.466666666666666,-32.6816601526204
0.473333333333333,-32.7721895247499
0.479999999999999,-32.8917336254369
0.486666666666666,-33.0397810295948
0.493333333333333,-33.2156367641061
0.499999999999999,-33.4184519738711
0.506666666666666,-33.6472394426447
0.513333333333333,-33.9044826142251
0.519999999999999,-34.1872183598564
0.526666666666666,-34.4930926325504
0.533333333333333,-34.8197462293357
0.54,-35.1676369613177
0.546666666666666,-35.5341266700124
0.553333333333333,-35.9165026960397
0.56,-36.3126152827852
0.566666666666666,-36.7237147070168
0.573333333333333,-37.1448479700966
0.58,-37.5732373471465
0.586666666666667,-38.0073251706321
0.593333333333333,-38.4420904957291
0.6,-38.8768450593015
0.606666666666667,-39.3087769972533
0.613333333333333,-39.7342020000048
0.62,-40.1504684178912
0.626666666666667,-40.5560311837069
0.633333333333334,-40.945867009112
0.64,-41.3179865954757
0.646666666666667,-41.6707395476589
0.653333333333334,-42.0006814794758
0.66,-42.3046897767983
0.666666666666667,-42.5805493516141
0.673333333333334,-42.8272012380361
0.68,-43.0423232168592
0.686666666666667,-43.2234064505721
0.693333333333334,-43.3690403868637
0.700000000000001,-43.4779729560354
0.706666666666667,-43.5493843929915
0.713333333333334,-43.5827274109126
0.720000000000001,-43.5776131477931
0.726666666666667,-43.5334490346792
0.733333333333334,-43.4501082894398
0.740000000000001,-43.3280127870405
0.746666666666668,-43.1681139127251
0.753333333333334,-42.9714785576287
0.760000000000001,-42.7385823025461
0.766666666666668,-42.4726799541233
0.773333333333334,-42.1754902007997
0.780000000000001,-41.8484767619239
0.786666666666668,-41.4929464095646
0.793333333333335,-41.1137090792445
0.800000000000001,-40.7128077261148
0.806666666666668,-40.2937935892691
0.813333333333335,-39.8598308582464
0.820000000000001,-39.4141613502269
0.826666666666668,-38.9600729119284
0.833333333333335,-38.4978134257003
0.840000000000002,-38.0333151142583
0.846666666666668,-37.5703340479968
0.853333333333335,-37.1121481907011
0.860000000000002,-36.661952745961
0.866666666666668,-36.2228392158579
0.873333333333335,-35.7977765426653
0.880000000000002,-35.3895943750308
0.886666666666668,-35.000968448244
0.893333333333335,-34.6344080206882
0.900000000000002,-34.2922452667404
0.906666666666669,-33.976626491287
0.913333333333335,-33.689505003414
0.920000000000002,-33.4326354671863
0.926666666666669,-33.2075695358983
0.933333333333335,-33.0156525726607
0.940000000000002,-32.8580212643223
0.946666666666669,-32.7356019469599
0.953333333333336,-32.6491094787741
0.960000000000002,-32.5990465193539
0.966666666666669,-32.5857031019807
0.973333333333336,-32.609156416927
0.980000000000002,-32.6692707575162
0.986666666666669,-32.7656976160011
0.993333333333336,-32.8978759519874
1,-33.0650326911213
1.00666666666667,-33.2661835449829
1.01333333333334,-33.500134273531
1.02,-33.765482537989
1.02666666666667,-34.0606205137631
1.03333333333334,-34.3837384489149
1.04,-34.7328293630607
1.04666666666667,-35.1056950836482
1.05333333333334,-35.4999538108641
1.06,-35.9130493886693
1.06666666666667,-36.3422624375893
1.07333333333334,-36.7847234751676
1.08,-37.2374281129499
1.08666666666667,-37.6972543753561
1.09333333333333,-38.1609821369529
1.1,-38.6253146218509
1.10666666666667,-39.0869018537509
1.11333333333333,-39.5423658896237
1.12,-39.9883276150412
1.12666666666667,-40.4214348281681
1.13333333333333,-40.8383912921835
