"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0,-37.790984320701
0.00666666666666667,-38.1332323840676
0.0133333333333333,-38.4767776739878
0.02,-38.8214732622707
0.0266666666666667,-39.1637779461646
0.0333333333333333,-39.5023741200532
0.04,-39.8358776861085
0.0466666666666667,-40.1629050641635
0.0533333333333333,-40.4875899058055
0.06,-40.802202338227
0.0666666666666667,-41.1067855187156
0.0733333333333333,-41.3998948328397
0.08,-41.6800868760745
0.0866666666666667,-41.9459491687121
0.0933333333333333,-42.1961086447691
0.1,-42.4292403966501
0.106666666666667,-42.6440767774475
0.113333333333333,-42.8394162002789
0.12,-43.0141321065837
0.126666666666667,-43.1671814351382
0.133333333333333,-43.2976132209529
0.14,-43.4045764406138
0.146666666666667,-43.4873277808801
0.153333333333333,-43.5452384300061
0.16,-43.5778005194101
0.166666666666667,-43.584632781631
0.173333333333333,-43.5654839175765
0.18,-43.5202378021015
0.186666666666667,-43.4489172470032
0.193333333333333,-43.3516853800095
0.2,-43.228594896686
0.206666666666667,-43.0806740288927
0.213333333333333,-42.9086497655019
0.22,-42.7134793771388
0.226666666666666,-42.4961891582097
0.233333333333333,-42.2555572275728
0.24,-41.9953999493999
0.246666666666666,-41.7162259354382
0.253333333333333,-41.4198085728828
0.26,-41.1076855467962
0.266666666666666,-40.7772832753543
0.273333333333333,-40.4342641487744
0.28,-40.0799636147226
0.286666666666666,-39.7165231119932
0.293333333333333,-39.3457928128052
0.3,-38.9648047415365
0.306666666666666,-38.5805006391429
0.313333333333333,-38.1941320480144
0.32,-37.8080185363001
0.326666666666666,-37.4240649761357
0.333333333333333,-37.0392446879021
0.34,-36.6609117271431
0.346666666666666,-36.2900403489153
0.353333333333333,-35.92882879778
0.36,-35.5789910431239
0.366666666666666,-35.2386779547241
0.373333333333333,-34.910342452801
0.38,-34.5988141589252
0.386666666666666,-34.3043043107613
0.393333333333333,-34.0297540397281
0.4,-33.7744322641706
0.406666666666666,-33.54114427861
0.413333333333333,-33.3307538374614
0.419999999999999,-33.1451999706829
0.426666666666666,-32.9851265293169
0.433333333333333,-32.8512183255515
0.439999999999999,-32.7440722076547
0.446666666666666,-32.663308027267
0.453333333333333,-32.6107399865441
0.459999999999999,-32.5868958380605
0.466666666666666,-32.5919246065713
0.473333333333333,-32.6258641472554
0.479999999999999,-32.6885607478804
0.486666666666666,-32.7811218949538
0.493333333333333,-32.9020207001573
0.499999999999999,-33.0493311976145
0.506666666666666,-33.2245685178787
0.513333333333333,-33.4260988920007
0.519999999999999,-33.6529637258864
0.526666666666666,-33.9040738069678
0.533333333333333,-34.1782111056949
0.54,-34.4798299560436
0.546666666666666,-34.8044000751202
0.553333333333333,-35.1485307256713
0.56,-35.5107323772073
0.566666666666666,-35.8913091856474
0.573333333333333,-36.2862031830477
0.58,-36.6927034028273
0.586666666666667,-37.1109401122244
0.593333333333333,-37.5371857699658
0.6,-37.9677879262978
0.606666666666667,-38.4018205474989
0.613333333333333,-38.8347743455261
0.62,-39.265289221207
0.626666666666667,-39.6902633708962
0.633333333333334,-40.1059173528203
0.64,-40.5107017709688
0.646666666666667,-40.9016470329836
0.653333333333334,-41.2758080705769
0.66,-41.6305012447256
0.666666666666667,-41.9623989232057
0.673333333333334,-42.2698174488736
0.68,-42.549755147851
0.686666666666667,-42.8000997980994
0.693333333333334,-43.0190026680503
0.700000000000001,-43.2040151393623
0.706666666666667,-43.3541658518402
0.713333333333334,-43.4677739590397
0.720000000000001,-43.5437016074464
0.726666666666667,-43.581215373223
0.733333333333334,-43.5796478306311
0.740000000000001,-43.5389970865258
0.746666666666668,-43.4593773762292
0.753333333333334,-43.3406241654587
0.760000000000001,-43.1838810874209
0.766666666666668,-42.9897038211741
0.773333333333334,-42.7598012219459
0.780000000000001,-42.4958033671324
0.786666666666668,-42.1993739790056
0.793333333333335,-41.8733087208676
0.800000000000001,-41.518333564943
0.806666666666668,-41.1387883072308
0.813333333333335,-40.7368255409128
0.820000000000001,-40.3145210586103
0.826666666666668,-39.8767067178141
0.833333333333335,-39.4280890869457
0.840000000000002,-38.9711539340731
0.846666666666668,-38.5089561125826
0.853333333333335,-38.0448603372855
0.860000000000002,-37.5821969871956
0.866666666666668,-37.125815769462
0.873333333333335,-36.6777503774768
0.880000000000002,-36.2405113240132
0.886666666666668,-35.8170722895289
0.893333333333335,-35.4102686857522
0.900000000000002,-35.0231730611668
0.906666666666669,-34.6582199747819
0.913333333333335,-34.3171422319209
0.920000000000002,-34.001885651807
0.926666666666669,-33.7144914821813
0.933333333333335,-33.4567235244313
0.940000000000002,-33.2303678034786
0.946666666666669,-33.0366731549702
0.953333333333336,-32.876421008064
0.960000000000002,-32.750546602564
0.966666666666669,-32.6597703016255
0.973333333333336,-32.6046287629211
0.980000000000002,-32.5853805918089
0.986666666666669,-32.6019203478623
0.993333333333336,-32.6540777565557
1,-32.741492842918
1.00666666666667,-32.8636867616925
1.01333333333334,-33.0199888833566
1.02,-33.2091805855763
1.02666666666667,-33.4300560884473
1.03333333333334,-33.6815901332769
1.04,-33.9619096137427
1.04666666666667,-34.2698320178753
1.05333333333334,-34.6034227397464
1.06,-34.9603670613659
1.06666666666667,-35.3383785275658
1.07333333333334,-35.7353099072524
1.08,-36.148419106713
1.08666666666667,-36.5755175314788
1.09333333333333,-37.0138105449806
1.1,-37.4603957675937
1.10666666666667,-37.9107938135702
1.11333333333333,-38.3633816267717
1.12,-38.8148218245481
1.12666666666667,-39.2621321087453
1.13333333333333,-39.7026763253459
