"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0.02,-38.8164010880784
0.0266666666666667,-39.1555085549538
0.0333333333333333,-39.4910175336145
0.04,-39.8215761104968
0.0466666666666667,-40.1458393221654
0.0533333333333333,-40.4624754246041
0.06,-40.7701722828103
0.0666666666666667,-41.0676438360434
0.0733333333333333,-41.3536365914685
0.08,-41.6269360968914
0.0866666666666667,-41.8863733418473
0.0933333333333333,-42.1308310354887
0.1,-42.3592497095478
0.106666666666667,-42.5706335951119
0.113333333333333,-42.7640562230463
0.12,-42.9386656996062
0.126666666666667,-43.0936896110698
0.133333333333333,-43.2284395140669
0.14,-43.342314971632
0.146666666666667,-43.4348070988225
0.153333333333333,-43.5055015859813
0.16,-43.5540811723087
0.166666666666667,-43.5803275473149
0.173333333333333,-43.5841226628671
0.18,-43.5654494438869
0.186666666666667,-43.52439189122
0.193333333333333,-43.4611345757406
0.2,-43.3759615283031
0.206666666666667,-43.2692545356495
0.213333333333333,-43.141490857774
0.22,-42.9932403874622
0.226666666666666,-42.8251622777133
0.233333333333333,-42.638001067457
0.24,-42.4325823403354
0.246666666666666,-42.209807955284
0.253333333333333,-41.9706508911599
0.26,-41.7161497506845
0.266666666666666,-41.4474029714493
0.273333333333333,-41.1655627936416
0.28,-40.8718290354513
0.286666666666666,-40.5674427277976
0.293333333333333,-40.2536796600597
0.3,-39.9318438878961
0.306666666666666,-39.6032612530082
0.313333333333333,-39.2692729628655
0.32,-38.931229275981
0.326666666666666,-38.5904833353668
0.333333333333333,-38.248385189341
0.34,-37.9062760349789
0.346666666666666,-37.5654827152573
0.353333333333333,-37.2273124964227
0.36,-36.8930481473901
0.366666666666666,-36.5639433381417
0.373333333333333,-36.2412183692345
0.38,-35.9260562397127
0.386666666666666,-35.6195990560578
0.393333333333333,-35.3229447803588
0.4,-35.0371443117218
0.406666666666666,-34.7631988911332
0.413333333333333,-34.5020578165879
0.419999999999999,-34.2546164523412
0.426666666666666,-34.0217145136778
0.433333333333333,-33.8041346066308
0.439999999999999,-33.6026010006426
0.446666666666666,-33.4177786112426
0.453333333333333,-33.2502721694123
0.459999999999999,-33.1006255544069
0.466666666666666,-32.9693212673746
0.473333333333333,-32.8567800241363
0.479999999999999,-32.763360446923
0.486666666666666,-32.6893588366732
0.493333333333333,-32.6350090096323
0.499999999999999,-32.6004821844132
0.506666666666666,-32.5858869083423
0.513333333333333,-32.5912690147568
0.519999999999999,-32.6166116059088
0.526666666666666,-32.6618350592039
0.533333333333333,-32.7267970576114
0.54,-32.8112926481854
0.546666666666666,-32.915054335661
0.553333333333333,-33.0377522210158
0.56,-33.1789941976317
0.566666666666666,-33.3383262202335
0.573333333333333,-33.5152326640531
0.58,-33.709136793634
0.586666666666667,-33.9194013622993
0.593333333333333,-34.1453293645261
0.6,-34.3861649642492
0.606666666666667,-34.6410946224395
0.613333333333333,-34.9092484471332
0.62,-35.1897017884056
0.626666666666667,-35.4814770995875
0.633333333333334,-35.7835460842987
0.64,-36.0948321466394
0.646666666666667,-36.4142131591467
