"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0,-37.790984320701
0.00666666666666667,-38.147827355658
0.0133333333333333,-38.5051347659674
0.02,-38.8613364616008
0.0266666666666667,-39.2151891784828
0.0333333333333333,-39.5648792824753
0.04,-39.9088754703337
0.0466666666666667,-40.2456425828906
0.0533333333333333,-40.5736145609902
0.06,-40.8913145621274
0.0666666666666667,-41.1972873820552
0.0733333333333333,-41.4904662847376
0.08,-41.7691031032489
0.0866666666666667,-42.0319094180034
0.0933333333333333,-42.2776798511442
0.1,-42.5052074329075
0.106666666666667,-42.7134004253027
0.113333333333333,-42.9012102376921
0.12,-43.067724011818
0.126666666666667,-43.2122585694671
0.133333333333333,-43.333950387105
0.14,-43.4321685341594
0.146666666666667,-43.506471541362
0.153333333333333,-43.5564614742913
0.16,-43.5818872049098
0.166666666666667,-43.5826230085399
0.173333333333333,-43.5586542813594
0.18,-43.5100650076272
0.186666666666667,-43.4371040183725
0.193333333333333,-43.3401307929776
0.2,-43.2196236145871
0.206666666666667,-43.0759668896787
0.213333333333333,-42.9099991055206
0.22,-42.7225609802893
0.226666666666666,-42.5145455074059
0.233333333333333,-42.2868566610443
0.24,-42.0407144140108
0.246666666666666,-41.777208334239
0.253333333333333,-41.497570522057
0.26,-41.2031633854934
0.266666666666666,-40.8952872554529
0.273333333333333,-40.5754667725884
0.28,-40.2451902435567
0.286666666666666,-39.906012096321
0.293333333333333,-39.5593557604856
0.3,-39.2068002856614
0.306666666666666,-38.8499318166687
0.313333333333333,-38.49045769645
0.32,-38.1299257655265
0.326666666666666,-37.7695822530369
0.333333333333333,-37.4112351189094
0.34,-37.0564571801869
0.346666666666666,-36.7065634898789
0.353333333333333,-36.3631818379063
0.36,-36.0277202039735
0.366666666666666,-35.7015132061975
0.373333333333333,-35.385838110232
0.38,-35.0820040747652
0.386666666666666,-34.7911983000736
0.393333333333333,-34.5142939384022
0.4,-34.252540991103
0.406666666666666,-34.0070292069004
0.413333333333333,-33.7785744808971
0.419999999999999,-33.5681358719289
0.426666666666666,-33.3765069287542
0.433333333333333,-33.2043729371097
0.439999999999999,-33.0523444519921
0.446666666666666,-32.9209647719637
0.453333333333333,-32.8107243532286
0.459999999999999,-32.722044953106
0.466666666666666,-32.6552440665486
0.473333333333333,-32.610557636281
0.479999999999999,-32.5881645280909
0.486666666666666,-32.5881428432062
0.493333333333333,-32.6104926578958
0.499999999999999,-32.6551872697628
0.506666666666666,-32.7221035245811
0.513333333333333,-32.8109848568466
0.519999999999999,-32.9215613682019
0.526666666666666,-33.0534374763526
0.533333333333333,-33.2061319771441
0.54,-33.3790605765263
0.546666666666666,-33.5716333776069
0.553333333333333,-33.7831900613168
0.56,-34.0129193043865
0.566666666666666,-34.2600045668776
0.573333333333333,-34.5234821551305
0.58,-34.8023952376283
0.586666666666667,-35.0956524547808
0.593333333333333,-35.4020554150706
0.6,-35.7204996954117
0.606666666666667,-36.0496857501145
0.613333333333333,-36.3882144720538
0.62,-36.7346785190293
0.626666666666667,-37.0878899534742
0.633333333333334,-37.446204497318
0.64,-37.8080118165802
0.646666666666667,-38.1717607396187
0.653333333333334,-38.5359309186724
0.66,-38.8988653312497
0.666666666666667,-39.2589211797656
0.673333333333334,-39.6145098297313
0.68,-39.9640660636978
0.686666666666667,-40.3058413732001
0.693333333333334,-40.6383986956263
0.700000000000001,-40.9600019259268
0.706666666666667,-41.2690798966414
0.713333333333334,-41.564166212523
0.720000000000001,-41.8438703833193
0.726666666666667,-42.1068041246618
0.733333333333334,-42.3516244715332
0.740000000000001,-42.5771795411092
0.746666666666668,-42.7822638312066
0.753333333333334,-42.9658419540134
0.760000000000001,-43.1270516228394
0.766666666666668,-43.2650282546163
0.773333333333334,-43.3790318733844
0.780000000000001,-43.4684838629423
0.786666666666668,-43.5329088982205
0.793333333333335,-43.5719332104244
0.800000000000001,-43.5853488868652
0.806666666666668,-43.5730887947157
0.813333333333335,-43.5352050136476
0.820000000000001,-43.4718785496398
0.826666666666668,-43.3834122008431
0.833333333333335,-43.2702447824119
0.840000000000002,-43.1329732738176
0.846666666666668,-42.9722360092865
0.853333333333335,-42.788857015044
0.860000000000002,-42.5837433952823
0.866666666666668,-42.3579672251805
0.873333333333335,-42.1126107094089
0.880000000000002,-41.848868370715
0.886666666666668,-41.5680832698959
0.893333333333335,-41.2716252462421
0.900000000000002,-40.9609382707435
0.906666666666669,-40.6375144343497
0.913333333333335,-40.3029834947575
0.920000000000002,-39.958738596448
0.926666666666669,-39.6064228973147
0.933333333333335,-39.2478817395829
0.940000000000002,-38.8847683793336
0.946666666666669,-38.518757754696
0.953333333333336,-38.1513987549776
0.960000000000002,-37.7843527733336
0.966666666666669,-37.4193603421315
0.973333333333336,-37.057901958242
0.980000000000002,-36.7016447172269
0.986666666666669,-36.3520691846928
0.993333333333336,-36.0106709084076
1,-35.6789749093875
1.00666666666667,-35.3582947237106
1.01333333333334,-35.0499144668439
1.02,-34.7551604846219
1.02666666666667,-34.4752064236498
1.03333333333334,-34.2111618603403
1.04,-33.9640717255685
1.04666666666667,-33.7349076436901
1.05333333333334,-33.5245622936091
1.06,-33.3338489533219
1.06666666666667,-33.163500913858
1.07333333333334,-33.0141628334081
1.08,-32.8864355308724
1.08666666666667,-32.7807875385325
1.09333333333333,-32.6975508831253
1.1,-32.6371027715241
1.10666666666667,-32.5997074919508
1.11333333333333,-32.5854996385531
1.12,-32.594531298979
1.12666666666667,-32.6267693804372
1.13333333333333,-32.6820956650597
1.14,-32.760378443916
