46.678121452688-0.397334848255934i,1.14791490147003-0.0272676173756772i
37.4516854153228-0.407602355511371i,1.82384975638628-0.0696924463780511i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
0+0i,0+0i
