File Path: C:\Users\Administrator\Desktop\New folder (2)\Test Run 181 09-7-22 10 52 09 AM\DAQ- Time, … - (Timed).txt   
Test: ASEN3112_20in-lb-return_FinalFall2021
Test Run: Test Run 181
Date: 9/7/2022 10:38:04 AM


Time 	Torsional Angle 	Torsional Epsilon 3550 Torsion 	Torsional Torque 	Axial Epsilon 3550 Axial 
sec	°	°	in·lbf	in
363.12109375	47.9994241784695	0.00085993729364006	1.04161602156797	4.75460930469427E-07
363.130859375	48.0000388954947	0.00028553514837087	1.03634966613996	-3.94092562607859E-07
363.140625	48.003587178768	-0.000316654165990561	0.676807584798422	-1.58874432420057E-06
363.150390625	48.0040960278611	0.00029226539016125	0.0100476821720025	-6.59945720118982E-08
363.16015625	48.0012410087884	5.57743111072775E-05	-0.263830891885141	3.18348825865857E-06
363.169921875	47.999748612455	-0.000728309045017597	-0.224612825321333	-2.00608506184705E-07
363.1796875	47.9964325556134	-0.00315319201473704	0.0774239050864966	-5.21769602152394E-06
363.189453125	48.0010121974513	-0.00373994420111187	0.623434811457665	-4.43888495514272E-06
363.19921875	48.0016098390036	-0.0006120958817638	0.88919986670548	-1.75110599686348E-07
363.208984375	48.0026480277573	0.00157265345325966	0.830003517940143	1.76235509125788E-07
363.21875	47.9996529898066	-0.000552212342047706	0.89275750206824	-2.3019356499694E-06
363.228515625	47.996640876383	-0.00249460674054326	0.659650814075418	-3.8246853803033E-06
363.23828125	47.9976244236234	-0.00203079795921261	0.471581613649707	-1.73948190934418E-06
363.248046875	47.9980991217706	0.000308813325394434	0.167914454234734	4.33464358020573E-07
363.2578125	48.001869386192	0.000384600666063931	-0.128200989419531	-1.10128445295754E-06
363.267578125	48.0016781408953	-0.00148871433038353	0.0321151601873243	-1.89171946698745E-06
363.27734375	47.9974604990833	-0.00143353983382422	0.240270212651182	-3.93342646293336E-07
363.287109375	47.9979693481764	-0.000344130393472297	0.510760971558131	8.43305617812924E-07
363.296875	47.9957188008452	0.00100480393213724	0.852499181605497	5.51579639355752E-07
363.306640625	48.0012614993559	-5.58409470356223E-05	0.788118049144201	-1.13015703532273E-06
363.31640625	48.0006297068578	-0.00108425626189325	0.759258009913211	-1.6794867858643E-06
363.326171875	48.0001481785214	-0.00171716464802879	0.537191795376825	-1.45225549870945E-06
363.3359375	47.9985533293504	-0.000580043935092177	0.330763218183427	2.21531783293852E-06
363.345703125	47.9959066310474	-0.000801564116189575	0.42591759978822	-1.96746318274885E-06
363.35546875	47.9984679519858	-0.00177862519896638	0.407841778758436	-1.24002295745692E-06
363.365234375	47.99851576331	-0.00190983161545594	0.349859576096883	-1.46012979485022E-06
363.375	48.000578480439	-0.00131850384016675	0.292964578889006	-3.36722286099428E-06
363.384765625	48.0019752541241	-0.00131303966798737	0.382480817333169	-2.0120845672015E-06
363.39453125	47.9985191784045	-0.00161794378980599	0.973785202753899	-2.54266599026814E-06
363.404296875	47.9982391406486	-0.0011810337766883	1.28986419030564	-1.34988894952642E-06
363.4140625	47.9969516499902	-0.000864868326282473	1.39739775816575	-2.76689733242365E-06
363.423828125	48.0002916124939	-0.00122927824092016	0.952239912412884	-9.92918363452398E-07
363.43359375	48.0008926691408	-0.00132561167252353	0.192268100386898	-7.78810996445906E-07
363.443359375	47.9981093670544	-0.00120131329785369	0.0384593076779365	-8.541797190824E-07
363.453125	47.9983791595266	-0.000144489008848119	0.3239175232385	-2.22731684364743E-07
363.462890625	47.9950801781579	-0.00066558237235879	0.640731711469749	-3.29222948115924E-07
363.47265625	47.9978532349606	-0.00155408429333777	0.796418648797351	-1.48525279564279E-06
363.482421875	47.9990690086327	-0.00195252300749376	0.59157270828062	-3.02900088213642E-06
363.4921875	48.0002472162643	-0.00184057464787445	0.777009060708304	-6.91818116354797E-07
363.501953125	47.9992431784565	-0.000461831772153348	0.945880548530058	2.67802969651389E-06
363.51171875	47.9967262537477	-0.000307325136022285	0.955271650796627	-9.29173588464594E-07
363.521484375	47.9973512160566	-0.0016934645085968	0.877714210740536	-1.53249899209924E-06
363.53125	47.9975902726775	-0.00171421052034326	0.569583949954164	-2.81376853575518E-06
363.541015625	48.0006877634657	-0.000868599990379992	0.34441266820135	1.68736120876281E-08
363.55078125	48.000233555886	-0.000246442044353467	0.382950662596555	-8.38805980055168E-07
363.560546875	47.9970711783007	-0.00159810845605269	0.263974318333964	7.49938344145405E-08
363.5703125	47.9980854613923	-0.00274222590238285	0.459017786448783	-1.23139867506633E-06
363.580078125	47.996698932991	-0.00100382665729839	0.69995199761482	-3.29222948115924E-07
363.58984375	47.9998954615221	0.000817401346352393	0.699657693136155	1.48187813725979E-06
363.599609375	47.998720668985	-0.000720490429425137	0.786397723076663	6.29948193346696E-08
363.609375	47.9991714614702	-0.00300950270216682	0.745849252556531	-6.54133699088303E-06
363.619140625	47.9974024424754	-0.0025920284417283	0.858303040014813	-1.24864723984752E-06
363.62890625	47.9944825366056	-0.000620780725342087	0.727707488331886	-9.46047230056181E-07
363.638671875	47.9976449141909	0.000232692844165869	0.271772101126297	3.45346603457679E-07
363.6484375	47.9974161028537	-0.000768223953068597	0.267723188961821	-1.57112076629446E-06
363.658203125	48.0007389898845	-0.0029792277135844	0.451442561939106	-4.72723634515219E-06
363.66796875	47.9979898387439	-0.00211238274289608	0.484424908110452	-8.90926737458974E-07
363.677734375	47.9973990273808	0.000708296015455377	0.461384355825961	-4.8296026845293E-07
363.6875	47.9967945556393	0.00135242154072182	0.325557002949138	4.49213055205066E-07
