-2314.87, 4663.27,3673.75
-2335.2, 4653.13,3673.75
-2355.48, 4642.9,3673.75
-2375.71, 4632.57,3673.75
-2395.9, 4622.16,3673.75
-2416.05, 4611.67,3673.75
-2436.15, 4601.08,3673.75
-2456.2, 4590.41,3673.75
-2476.21, 4579.65,3673.75
-2496.16, 4568.8,3673.75
-2516.08, 4557.86,3673.75
-2535.94, 4546.84,3673.75
-2555.75, 4535.73,3673.75
-2575.52, 4524.54,3673.75
-2595.24, 4513.26,3673.75
-2614.91, 4501.89,3673.75
-2634.52, 4490.44,3673.75
-2654.09, 4478.9,3673.75
-2673.61, 4467.28,3673.75
-2693.08, 4455.57,3673.75
-2712.49, 4443.78,3673.75
-2731.86, 4431.9,3673.75
-2751.17, 4419.94,3673.75
-2770.43, 4407.89,3673.75
-2789.63, 4395.76,3673.75
-2808.79, 4383.55,3673.75
-2827.89, 4371.25,3673.75
-2846.93, 4358.87,3673.75
-2865.93, 4346.4,3673.75
-2884.86, 4333.86,3673.75
-2903.75, 4321.23,3673.75
-2922.57, 4308.52,3673.75
-2941.34, 4295.72,3673.75
-2960.06, 4282.85,3673.75
-2978.72, 4269.89,3673.75
-2997.32, 4256.86,3673.75
-3015.87, 4243.74,3673.75
-3034.36, 4230.54,3673.75
-3052.79, 4217.26,3673.75
-3071.16, 4203.9,3673.75
-3089.47, 4190.46,3673.75
-3107.73, 4176.94,3673.75
-3125.92, 4163.34,3673.75
-3144.06, 4149.66,3673.75
-3162.13, 4135.9,3673.75
-3180.15, 4122.06,3673.75
-3198.11, 4108.15,3673.75
-3216, 4094.15,3673.75
-3233.83, 4080.08,3673.75
-3251.61, 4065.93,3673.75
-3269.32, 4051.71,3673.75
-3286.96, 4037.4,3673.75
-3304.55, 4023.02,3673.75
-3322.07, 4008.57,3673.75
-3339.53, 3994.03,3673.75
-3356.93, 3979.42,3673.75
-3374.26, 3964.74,3673.75
-3391.52, 3949.98,3673.75
-3408.73, 3935.14,3673.75
-3425.86, 3920.23,3673.75
-3442.94, 3905.25,3673.75
-3459.94, 3890.19,3673.75
-3476.89, 3875.05,3673.75
-3493.76, 3859.84,3673.75
-3510.57, 3844.56,3673.75
-3527.31, 3829.21,3673.75
-3543.98, 3813.78,3673.75
-3560.59, 3798.28,3673.75
-3577.13, 3782.71,3673.75
-3593.6, 3767.07,3673.75
-3610, 3751.35,3673.75
-3626.34, 3735.56,3673.75
-3642.6, 3719.7,3673.75
-3658.8, 3703.77,3673.75
-3674.92, 3687.77,3673.75
-3690.98, 3671.71,3673.75
-3706.97, 3655.57,3673.75
-3722.88, 3639.36,3673.75
-3738.73, 3623.08,3673.75
-3754.5, 3606.73,3673.75
-3770.2, 3590.31,3673.75
-3785.83, 3573.83,3673.75
-3801.39, 3557.28,3673.75
-3816.87, 3540.65,3673.75
-3832.29, 3523.97,3673.75
-3847.63, 3507.21,3673.75
-3862.89, 3490.39,3673.75
-3878.08, 3473.5,3673.75
-3893.2, 3456.55,3673.75
-3908.25, 3439.53,3673.75
-3923.22, 3422.44,3673.75
-3938.11, 3405.29,3673.75
-3952.94, 3388.08,3673.75
-3967.68, 3370.8,3673.75
-3982.35, 3353.45,3673.75
-3996.95, 3336.04,3673.75
-4011.46, 3318.57,3673.75
-4025.91, 3301.04,3673.75
-4040.27, 3283.44,3673.75
-4054.56, 3265.78,3673.75
-4068.77, 3248.06,3673.75
-4082.9, 3230.27,3673.75
-4096.96, 3212.43,3673.75
-4110.94, 3194.52,3673.75
-4124.84, 3176.55,3673.75
-4138.66, 3158.52,3673.75
-4152.4, 3140.44,3673.75
-4166.06, 3122.29,3673.75
-4179.65, 3104.08,3673.75
-4193.15, 3085.81,3673.75
-4206.58, 3067.49,3673.75
-4219.92, 3049.1,3673.75
-4233.18, 3030.66,3673.75
-4246.37, 3012.16,3673.75
-4259.47, 2993.61,3673.75
-4272.49, 2974.99,3673.75
-4285.43, 2956.32,3673.75
-4298.29, 2937.59,3673.75
-4311.07, 2918.81,3673.75
-4323.76, 2899.97,3673.75
-4336.37, 2881.08,3673.75
-4348.9, 2862.13,3673.75
-4361.35, 2843.13,3673.75
-4373.71, 2824.07,3673.75
-4386, 2804.96,3673.75
-4398.19, 2785.8,3673.75
-4410.31, 2766.58,3673.75
-4422.34, 2747.31,3673.75
-4434.28, 2727.99,3673.75
-4446.14, 2708.61,3673.75
-4457.92, 2689.19,3673.75
-4469.61, 2669.71,3673.75
-4481.21, 2650.18,3673.75
-4492.74, 2630.6,3673.75
-4504.17, 2610.98,3673.75
-4515.52, 2591.3,3673.75
-4526.78, 2571.57,3673.75
-4537.96, 2551.8,3673.75
-4549.05, 2531.97,3673.75
-4560.06, 2512.1,3673.75
-4570.98, 2492.18,3673.75
-4581.81, 2472.21,3673.75
-4592.55, 2452.19,3673.75
-4603.21, 2432.13,3673.75
-4613.77, 2412.02,3673.75
-4624.25, 2391.87,3673.75
-4634.65, 2371.67,3673.75
-4644.95, 2351.42,3673.75
-4655.17, 2331.13,3673.75
-4665.29, 2310.8,3673.75
-4675.33, 2290.42,3673.75
-4685.28, 2270,3673.75
-4695.14, 2249.53,3673.75
-4704.91, 2229.03,3673.75
-4714.59, 2208.48,3673.75
-4724.18, 2187.88,3673.75
-4733.69, 2167.25,3673.75
-4743.1, 2146.58,3673.75
-4752.42, 2125.86,3673.75
-4761.65, 2105.1,3673.75
-4770.79, 2084.31,3673.75
-4779.84, 2063.47,3673.75
-4788.8, 2042.59,3673.75
-4797.66, 2021.68,3673.75
-4806.44, 2000.73,3673.75
